Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,9.0,8.8,8.0,7.9,8.2,8.7,8.3,7.4,7.6,7.2,8.1,7.8
2006,8.0,9.0,7.7,7.6,7.2,8.1,7.6,7.7,7.2,6.7,7.1,5.5
2007,7.7,7.0,6.8,7.0,7.6,8.0,8.0,7.7,7.4,8.0,8.3,7.6
2008,9.7,8.7,8.0,7.7,9.2,9.9,9.5,9.4,8.2,8.6,9.6,9.5
2009,11.6,12.0,11.6,9.7,12.1,12.4,11.7,12.5,11.6,12.0,10.9,12.2
2010,14.0,12.9,12.8,13.6,13.0,12.8,12.8,11.9,11.7,11.0,11.8,11.7
2011,13.6,13.6,12.7,11.5,10.4,11.9,12.1,11.0,11.9,11.1,11.5,10.9
2012,12.5,11.6,10.7,9.7,9.5,10.2,10.1,11.0,9.9,10.4,10.2,10.9
2013,12.2,11.1,10.7,9.7,11.1,11.7,11.2,10.3,9.1,9.0,8.6,8.4
2014,9.3,10.2,10.4,8.1,8.6,9.0,8.4,8.1,8.0,9.1,8.5,7.8
2015,9.4,8.8,8.5,7.6,8.3,8.0,8.4,7.9,8.1,8.3,7.2,7.7
2016,7.6,6.8,7.4,6.7,6.6,7.0,6.7,7.1,6.8,6.8,7.4,6.2
2017,7.8,6.6,6.3,6.2,6.6,7.1,5.4,5.6,5.0,5.6,6.7,6.3
2018,6.8,6.7,5.7,5.5,5.4,6.2,5.3,6.0,5.2,5.2,5.3,5.6
2019,6.5,6.2,5.9,4.4,5.3,5.5,5.9,4.9,4.6,5.1,4.8,5.0
2020,6.2,5.7,8.5,35.4,32.3,24.1,21.8,18.8,16.4,14.8,13.8,16.1
2021,14.4,12.2,,,,,,,,,,
